Price;Zipcode;Accommodates;Bathrooms;Bedrooms;Beds;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Number of Reviews;Thumbnail Url
22.0;28012;2;1.0;1.0;2.0;150.0;5.0;1;0;1;4;20;https://a0.muscache.com/im/pictures/63f14611-6572-49c4-b411-e836222c3aa0.jpg?aki_policy=small
40.0;28010;2;1.0;0.0;1.0;150.0;10.0;1;0;2;1125;30;https://a0.muscache.com/im/pictures/90af47ae-063d-4216-bb83-74f2ca2f5d51.jpg?aki_policy=small
32.0;28014;3;1.0;1.0;3.0;150.0;25.0;1;11;1;1125;82;https://a0.muscache.com/im/pictures/95683644/1d0f10e3_original.jpg?aki_policy=small
102.0;28015;5;1.0;1.0;3.0;300.0;42.0;1;11;3;365;16;https://a0.muscache.com/im/pictures/514847/9386a7e8_original.jpg?aki_policy=small
45.0;28014;4;1.0;1.0;2.0;150.0;20.0;2;15;2;1125;131;https://a0.muscache.com/im/pictures/76405548/a518b88a_original.jpg?aki_policy=small
80.0;28012;2;1.0;1.0;1.0;400.0;100.0;1;25;1;10;0;https://a0.muscache.com/im/pictures/d4d80121-cc2a-4a26-a04b-7d90b6fda33b.jpg?aki_policy=small
70.0;28004;6;1.0;2.0;3.0;100.0;30.0;4;10;2;90;121;https://a0.muscache.com/im/pictures/27925828/97a2ccf7_original.jpg?aki_policy=small
16.0;28047;2;1.0;1.0;1.0;200.0;20.0;1;5;2;360;12;https://a0.muscache.com/im/pictures/89b9261a-801d-494c-8090-90d112c9e120.jpg?aki_policy=small
30.0;28010;2;1.0;1.0;1.0;100.0;20.0;1;0;2;10;0;https://a0.muscache.com/im/pictures/d95db76a-4e2b-4c04-8b7b-3a3111a6f2c6.jpg?aki_policy=small
17.0;28021;1;1.0;1.0;1.0;150.0;25.0;1;0;1;30;0;https://a0.muscache.com/im/pictures/b1a52f6c-6411-4d0c-b98e-3d0ce3e93279.jpg?aki_policy=small
39.0;28004;2;1.0;2.0;1.0;150.0;25.0;1;0;5;300;10;https://a0.muscache.com/im/pictures/94394775/8573c194_original.jpg?aki_policy=small
25.0;28004;1;3.0;1.0;1.0;150.0;15.0;1;5;10;1125;1;https://a0.muscache.com/im/pictures/47954029/eddfed57_original.jpg?aki_policy=small
